place,state,core_neighborhood,lat,lon,drive_hrs_from_PIT,tier,notes
# ============================================================================
# MASTER CANDIDATE LIST — feed into measure_places.py
# Coordinates are APPROXIMATE core-of-neighborhood pins from general knowledge.
# VERIFY each against a map before measuring (a wrong pin measures the wrong place).
# drive_hrs are rough; recompute if precision matters. tier: in_range = <=~8h,
# stretch = ~8-11h, outlier = worth-a-flight (clearly not driveable for a weekend).
# ============================================================================

# ---- CONTROLS / REFERENCES (already in measure_places.py; keep for calibration) ----
Piran,Slovenia,Old town / Tartini Sq,45.5285,13.5683,REF,reference,LOVED ~10 ground truth
Bled,Slovenia,Lakefront / town core,46.3683,14.1133,REF,reference,LOVED ~10 ground truth
Ljubljana,Slovenia,Old town / Preseren Sq riverfront,46.0510,14.5060,REF,reference,liked ~8 ground truth
Pittsburgh (Shadyside),PA,Walnut/Highland near Yardley Way,40.4530,-79.9340,0.3,control,COLD ~3 ground truth
Pittsburgh (Lawrenceville),PA,Butler St / Industry Public House,40.4660,-79.9610,0.3,control,COLD ~3 ground truth
Sewickley,PA,Beaver St downtown,40.5360,-80.1840,0.4,control,unrated test row
Oakmont,PA,Allegheny River Blvd shops,40.5220,-79.8430,0.4,control,unrated test row
Verona,PA,Allegheny River Blvd main st,40.5100,-79.8420,0.4,control,unrated test row
Allison Park,PA,Hampton Twp (owner suburb),40.5720,-79.9560,0.0,control,car-dependent; should score LOW

# ---- IN RANGE (<= ~8h drive) ----
Cleveland (Tremont),OH,Tremont,41.4790,-81.6890,2.2,in_range,bluff over Cuyahoga valley + skyline views
Cleveland (Ohio City),OH,Ohio City / W 25th,41.4840,-81.7050,2.2,in_range,West Side Market
Columbus (German Village),OH,German Village,39.9430,-82.9970,3.3,in_range,brick rowhouse density
Columbus (Short North),OH,Short North / Italian Village,39.9810,-83.0030,3.3,in_range,arts corridor
Cincinnati (Over-the-Rhine),OH,Over-the-Rhine,39.1130,-84.5150,4.5,in_range,large intact historic fabric; Findlay Mkt
Pittsburgh (South Side),PA,East Carson St Flats,40.4280,-79.9810,0.2,in_range,riverfront + slope; bar-heavy daytime test
Pittsburgh (Squirrel Hill),PA,Forbes/Murray,40.4380,-79.9220,0.3,in_range,denser resident base than Shadyside
Lancaster,PA,Downtown Historic District,40.0379,-76.3055,3.8,in_range,platted 1730; Central Market; flat
Bethlehem,PA,Historic District / Main St,40.6180,-75.3780,5.0,in_range,Moravian core
Easton,PA,Centre Sq / downtown,40.6920,-75.2200,5.2,in_range,confluence; public square
Jim Thorpe,PA,Old town in the gorge,40.8690,-75.7320,4.5,in_range,gorge setting; dramatic relief; small
Bellefonte,PA,Downtown,40.9130,-77.7780,2.8,in_range,Victorian; spring
Lewisburg,PA,Market St,40.9640,-76.8840,3.3,in_range,Bucknell college core
Frederick,MD,Downtown / Market St,39.4140,-77.4100,3.6,in_range,large walkable historic core; creek
Annapolis,MD,Historic district / Main St,38.9780,-76.4920,4.5,in_range,waterfront state-capital core
Buffalo (Elmwood),NY,Elmwood Village,42.9180,-78.8770,3.5,in_range,Olmsted park edge; linear (no central sq)
Buffalo (Allentown),NY,Allentown,42.9010,-78.8740,3.5,in_range,historic district
Rochester (Park Ave),NY,Park Ave / South Wedge,43.1530,-77.5870,5.5,in_range,smaller scale
Ithaca,NY,Commons + Fall Creek,42.4400,-76.4970,5.5,in_range,gorges; Cornell; year-round college
Saratoga Springs,NY,Broadway corridor,43.0830,-73.7850,7.5,in_range,year-round despite race-season fame
Hudson,NY,Warren St,42.2530,-73.7910,8.0,in_range,whole-town fabric; river
Beacon,NY,Main St,41.5040,-73.9690,7.5,in_range,Hudson River + Mount Beacon
Kingston,NY,Stockade + Rondout,41.9270,-74.0000,7.5,in_range,two historic districts
Staunton,VA,Downtown / Beverley St,38.1490,-79.0720,4.5,in_range,Shenandoah valley; relief
Lexington,VA,Downtown,37.7840,-79.4430,5.0,in_range,Blue Ridge; small
Charlottesville,VA,Downtown Mall,38.0300,-78.4800,5.5,in_range,pedestrian mall; Blue Ridge
Roanoke,VA,Downtown / Market,37.2710,-79.9410,6.0,in_range,Blue Ridge; market
Harrisonburg,VA,Downtown,38.4490,-78.8690,5.0,in_range,Shenandoah; college
Morgantown,WV,Downtown / High St,39.6290,-79.9560,1.3,in_range,river + hills; WVU; very close
Lewisburg,WV,Downtown,37.8020,-80.4460,3.5,in_range,Greenbrier valley; arts; small
Asheville,NC,Montford / downtown,35.6010,-82.5560,8.0,in_range,Blue Ridge; verify downtown vs strip
Pittsburgh (Strip District),PA,Penn Ave,40.4500,-79.9820,0.2,in_range,market district; emerging residential

# ---- STRETCH (~8-11h, one long day with the dog) ----
Burlington,VT,Church St / Hill Section,44.4760,-73.2120,9.5,stretch,Lake Champlain + Green Mtns; real winter
Portland,ME,West End / Munjoy Hill,43.6590,-70.2480,10.5,stretch,working waterfront peninsula; verify PIT drive
Greenville,SC,Main St / West End,34.8520,-82.3990,9.0,stretch,Falls Park; Reedy River; mild winter
Knoxville,TN,Old City / Market Sq,35.9670,-83.9190,8.5,stretch,Smokies nearby
Chattanooga,TN,Downtown / Bluff View,35.0550,-85.3090,9.0,stretch,river + ridges; dramatic setting
Charleston,SC,Harleston Village / peninsula,32.7780,-79.9350,10.5,stretch,mild winter; summer humidity is the risk
Savannah,GA,Historic district squares,32.0780,-81.0910,11.0,stretch,squares = resident+street life same blocks
Richmond,VA,The Fan / Carytown,37.5540,-77.4600,6.5,in_range,Victorian rowhouse fabric (moved up: actually ~6.5h)

# ---- OUTLIERS (worth a flight, NOT a weekend drive — clearly marked) ----
Santa Barbara,CA,Lower Riviera / downtown,34.4220,-119.7020,FLY,outlier,Mediterranean benchmark; verify off-season
San Luis Obispo,CA,Downtown / creek,35.2820,-120.6600,FLY,outlier,small walkable; Thursday market
Santa Cruz,CA,Westside / Seabright,36.9620,-122.0260,FLY,outlier,ocean + redwoods
Bellingham,WA,Fairhaven,48.7210,-122.5070,FLY,outlier,Salish Sea + Mt Baker; gray winter
Bend,OR,Downtown / Drake Park,44.0580,-121.3150,FLY,outlier,high desert; Cascades; verify off-season
Boulder,CO,Pearl St / Mapleton Hill,40.0190,-105.2800,FLY,outlier,Flatirons; sunny winter; wealthy
Santa Fe,NM,Eastside / Plaza,35.6870,-105.9380,FLY,outlier,adobe; high desert; arts
